close,volume,date,high,low
2.1279276139,6881.29,2022-04-28T23:59:59.999Z,2.1776956332,2.0968642017
2.0657721924,5493.62,2022-04-29T23:59:59.999Z,2.1483231892,2.0632946616
2.0378342687,5945.45,2022-04-30T23:59:59.999Z,2.1235362354,2.0300653946
2.0789780806,5914.01,2022-05-02T23:59:59.999Z,2.096769165,2.051042593
2.0110819925,4571.53,2022-05-03T23:59:59.999Z,2.0800469822,2.010936856
2.0865341887,5579.36,2022-05-04T23:59:59.999Z,2.0995781794,2.0049828359
2.0056452176,5199.58,2022-05-05T23:59:59.999Z,2.0941373386,1.9867609469
2.0057227904,12042.18,2022-05-06T23:59:59.999Z,2.0308579572,1.9867090273
1.9938275882,7882.21,2022-05-08T23:59:59.999Z,2.020359547,1.988244737
1.9886068075,17019.36,2022-05-09T23:59:59.999Z,2.0572508504,1.9863160628
2.0913430009,11014.55,2022-05-10T23:59:59.999Z,2.0996071627,1.9898235045
1.9374841816,26692.83,2022-05-11T23:59:59.999Z,2.1796450936,1.9277384588
2.0100072442,23393.86,2022-05-12T23:59:59.999Z,2.0235421008,1.8979685096
2.10366327,8216.48,2022-05-14T23:59:59.999Z,2.1930087103,2.0813536787
2.133644268,5573.54,2022-05-15T23:59:59.999Z,2.1403228235,2.0804660416
2.0874644267,8803.7,2022-05-16T23:59:59.999Z,2.1426411912,2.0759530473
2.1060928196,7639.2,2022-05-17T23:59:59.999Z,2.1385147115,2.0815853948
1.4972990387,58895.53,2022-05-18T23:59:59.999Z,2.1282512134,1.2181072467
1.2188476767,19921.93,2022-05-20T23:59:59.999Z,1.3054571197,1.0055122008
1.3166983476,8322.86,2022-05-21T23:59:59.999Z,1.3287903689,1.2152167132
1.3549481734,11235.71,2022-05-22T23:59:59.999Z,1.3606618757,1.3081697483
1.3814648105,13956.7,2022-05-23T23:59:59.999Z,1.4103367664,1.2641888461
1.4213939142,7422.81,2022-05-24T23:59:59.999Z,1.4280984298,1.3481164023
1.3314284149,6547.19,2022-05-26T23:59:59.999Z,1.3780357616,1.3009649462
1.2775378566,6578.71,2022-05-27T23:59:59.999Z,1.3371083976,1.2650829161
1.4255724889,8944.57,2022-05-28T23:59:59.999Z,1.4780568907,1.2741263579
1.4403910441,6926.0,2022-05-29T23:59:59.999Z,1.4500527089,1.4062824956
1.4664451378,7778.37,2022-05-30T23:59:59.999Z,1.4755544448,1.4252678544
